Made with base sentiment function in Textblob. Contains polarity and subjectivity of text. Polarity goesfrom [-1,1] and subjectivity goes from [0,1]
On 2019-10-01, the article 'Ukraine's President says he never met with Rudy Giuliani' has a sentiment score of Sentiment(polarity=0.07772727272727273, subjectivity=0.17734848484848487)
On 2019-10-01, the article 'The blows keep coming for Trump as he struggles with impeachment defense' has a sentiment score of Sentiment(polarity=0.01458782430721207, subjectivity=0.4075767882910739)
On 2019-10-01, the article 'David Cameron says Trump call to Ukraine's Zelensky 'doesn't seem right'' has a sentiment score of Sentiment(polarity=0.013011163219496552, subjectivity=0.3230848164181498)
On 2019-10-01, the article 'Mike Pompeo gave a very evasive answer when asked about the Ukraine call' has a sentiment score of Sentiment(polarity=0.08523098633392752, subjectivity=0.4491437484084544)
On 2019-10-01, the article 'A brief guide to another blitz of breaking news from Washington' has a sentiment score of Sentiment(polarity=0.05303555967841683, subjectivity=0.3607183055040198)
On 2019-10-01, the article 'Ukraine's Zelensky talks movies with Tom Cruise amid political storm' has a sentiment score of Sentiment(polarity=0.08579545454545455, subjectivity=0.29204545454545455)
On 2019-09-30, the article 'Ukrainians named in whistleblower report say Giuliani was clear about wanting to open probe into political rivals' dealings in Kiev' has a sentiment score of Sentiment(polarity=0.01150932400932401, subjectivity=0.36778036778036777)
On 2019-10-01, the article 'Bill Barr doesn't deserve hate from Democrats' has a sentiment score of Sentiment(polarity=0.0062341394237945946, subjectivity=0.4251536298950091)
On 2019-10-01, the article 'Buttigieg raises more than $19 million in third quarter, down from his mid-year haul' has a sentiment score of Sentiment(polarity=0.1734697984307359, subjectivity=0.4249563717532467)
On 2019-10-01, the article 'Bernie Sanders announces massive $25.3 million third quarter fundraising haul' has a sentiment score of Sentiment(polarity=0.0854517396184063, subjectivity=0.4336560044893378)
On 2019-10-01, the article 'House Dems argue Mueller grand jury secrets would help impeachment probe over Ukraine' has a sentiment score of Sentiment(polarity=0.14409926794073133, subjectivity=0.4934983986203497)
On 2019-09-23, the article 'Whistleblower controversy thrusts little-known Trump appointee into the limelight' has a sentiment score of Sentiment(polarity=-0.001390226502586044, subjectivity=0.37166845015159616)
On 2019-09-30, the article 'Trump allies concerned he doesn't understand gravity of impeachment fight' has a sentiment score of Sentiment(polarity=0.010367627164502166, subjectivity=0.3385022095959595)
On 2019-09-30, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of Sentiment(polarity=0.052453480382051804, subjectivity=0.41921215556929864)
On 2019-09-30, the article 'Trump says he wants to meet whistleblower: 'I deserve to meet my accuser'' has a sentiment score of Sentiment(polarity=-0.021146214896214894, subjectivity=0.4264575702075702)
On 2019-09-30, the article 'Trump pressed Australian Prime Minister to help with Justice review of Russia probe origins' has a sentiment score of Sentiment(polarity=0.08289809289809294, subjectivity=0.3551815451815452)
On 2019-09-30, the article 'Source: Mike Pompeo was on Trump's July 25 phone call with Ukrainian President' has a sentiment score of Sentiment(polarity=0.050334742776603256, subjectivity=0.34885482734319945)
On 2019-09-30, the article 'House Democrats subpoena Giuliani for Ukraine documents in impeachment inquiry' has a sentiment score of Sentiment(polarity=0.00481859410430839, subjectivity=0.3816043083900227)
On 2019-09-30, the article 'McConnell: Senate would 'have no choice but to' take up House's impeachment of Trump' has a sentiment score of Sentiment(polarity=0.03846846846846848, subjectivity=0.43879665379665383)
On 2019-09-30, the article 'Donald Trump's 'treason' attack on Adam Schiff is completely misleading' has a sentiment score of Sentiment(polarity=0.16328849721706867, subjectivity=0.4858920841063699)
On 2019-09-30, the article 'Don't miss the totally debunked conspiracy theory Donald Trump pushed in the Ukraine call' has a sentiment score of Sentiment(polarity=0.07682926829268295, subjectivity=0.4697444831591175)
On 2019-09-30, the article 'US sanctions Putin's 'chef' for attempting to influence 2018 midterm elections' has a sentiment score of Sentiment(polarity=0.028764069264069256, subjectivity=0.3162770562770563)
On 2019-09-30, the article 'Jeff Flake tells GOP not to support Trump in 2020: It's 'time to risk your careers in favor of your principles'' has a sentiment score of Sentiment(polarity=0.046899224806201546, subjectivity=0.3742248062015504)
On 2019-09-28, the article 'The whistleblower vs. Trump's 'deep state'' has a sentiment score of Sentiment(polarity=0.0928383305732299, subjectivity=0.41386373320937075)
On 2019-09-29, the article 'Giuliani's journey to the center of Trump's impeachment battle started with a phone call in 2018' has a sentiment score of Sentiment(polarity=0.059020298697718035, subjectivity=0.34792218757944576)
On 2019-09-30, the article 'Stalled Ukraine military aid concerned members of Congress for months' has a sentiment score of Sentiment(polarity=0.08192732408834104, subjectivity=0.3587947598540819)
On 2019-09-29, the article 'Poll: Majority of Americans say impeachment inquiry into Trump is necessary' has a sentiment score of Sentiment(polarity=-0.04121212121212121, subjectivity=0.463560606060606)
On 2019-09-30, the article 'Washington at war: Dems aim for speedy impeachment push as Trump threatens whistleblower' has a sentiment score of Sentiment(polarity=-0.01408602150537634, subjectivity=0.3759168586789555)
On 2019-09-29, the article 'Tapper fact-checks GOP Rep. Jim Jordan on Ukraine scandal' has a sentiment score of Sentiment(polarity=0.04802048726467332, subjectivity=0.3574197120708749)
On 2019-09-30, the article 'Ukraine is no stranger to US political scandals. But never one like this' has a sentiment score of Sentiment(polarity=0.022923712572150055, subjectivity=0.39241973304473304)
On 2019-09-29, the article 'Robert De Niro has some choice words, and a couple f-bombs, for his Fox News critics' has a sentiment score of Sentiment(polarity=0.09751612766318649, subjectivity=0.38409621424327306)
On 2019-09-29, the article 'Former State Department official told dozens of his emails to Hillary Clinton are being labeled classified years later' has a sentiment score of Sentiment(polarity=0.023368298368298374, subjectivity=0.2637917637917638)
On 2019-09-29, the article 'Giuliani contradicts himself but says he'll testify if directed by Trump' has a sentiment score of Sentiment(polarity=0.06799481299481298, subjectivity=0.4172099372099372)
On 2019-09-29, the article 'Rudy Giuliani -- international man of mystery' has a sentiment score of Sentiment(polarity=-0.008425997079843232, subjectivity=0.395326276287815)
On 2019-09-29, the article 'Joe Biden thinks TV producers should stop putting Rudy Giuliani on air' has a sentiment score of Sentiment(polarity=0.06805555555555556, subjectivity=0.4642720306513411)
On 2019-09-29, the article 'How the impeachment battle changes everything for 2020' has a sentiment score of Sentiment(polarity=0.031447397140674446, subjectivity=0.45051893484666594)
On 2019-09-29, the article 'Schiff confirms tentative agreement for whistleblower to testify before House Intelligence Committee' has a sentiment score of Sentiment(polarity=0.0017361111111111039, subjectivity=0.32962962962962966)
On 2019-09-29, the article 'Giuliani says he spoke to Pompeo last week about Ukraine meeting' has a sentiment score of Sentiment(polarity=0.09634986225895316, subjectivity=0.328236914600551)
On 2019-09-29, the article 'How the McCains have been drawn into impeachment drama' has a sentiment score of Sentiment(polarity=0.15466684216684212, subjectivity=0.44514644514644514)
On 2019-09-29, the article 'Trump took huge risks with US national security' has a sentiment score of Sentiment(polarity=0.010688512518409429, subjectivity=0.4368078055964654)
On 2019-09-27, the article 'CNN's latest Nevada and South Carolina polls: Live analysis' has a sentiment score of Sentiment(polarity=0.11136205347940041, subjectivity=0.45478194481255707)
On 2019-09-29, the article 'Kamala Harris kind of digs Maya Rudolph's 'SNL' impression' has a sentiment score of Sentiment(polarity=0.11695804195804196, subjectivity=0.36153846153846153)
On 2019-09-29, the article 'Booker announces campaign reaches donor threshold for November debate' has a sentiment score of Sentiment(polarity=0.11131673881673883, subjectivity=0.4190187590187591)
On 2019-09-29, the article 'Impeachment inquiry into Trump will test power of 'fully operational' right-wing media machine' has a sentiment score of Sentiment(polarity=0.05471993174374126, subjectivity=0.43292706411754034)
On 2019-09-29, the article 'After the Mueller report, Dems need to stop crying wolf' has a sentiment score of Sentiment(polarity=0.010515873015873017, subjectivity=0.4314298115079365)
On 2019-09-29, the article 'Surging Warren has yet to prove herself in South Carolina' has a sentiment score of Sentiment(polarity=0.05519947855175127, subjectivity=0.4077599862258953)
On 2019-09-29, the article 'CNN Poll: Democrats knotted in Nevada while Biden leads South Carolina' has a sentiment score of Sentiment(polarity=0.15132335257335258, subjectivity=0.5392833092833093)
On 2019-09-29, the article 'Trump is making himself expendable' has a sentiment score of Sentiment(polarity=0.10449964703561829, subjectivity=0.49395185150580834)
On 2019-09-29, the article 'The Rehnquist files: How the last chief justice handled an impeachment trial' has a sentiment score of Sentiment(polarity=0.08618990658464341, subjectivity=0.37391028562081186)
On 2019-09-29, the article 'Ukraine braces for growing fall-out from US political crisis' has a sentiment score of Sentiment(polarity=0.06194483444483443, subjectivity=0.2844085644085643)
On 2019-09-29, the article 'Washington Post: State Department steps up email probe of dozens of former Hillary Clinton aides' has a sentiment score of Sentiment(polarity=0.06388888888888888, subjectivity=0.27552083333333327)
On 2019-09-27, the article 'Whistleblower alleges White House coverup' has a sentiment score of Sentiment(polarity=0.039827574288652155, subjectivity=0.3544222377755312)
On 2019-09-28, the article 'Volker plans to appear before congressional committees next week' has a sentiment score of Sentiment(polarity=0.006643990929705222, subjectivity=0.2744557823129251)
On 2019-09-28, the article 'There's a good reason why Trump is intent on smearing Biden' has a sentiment score of Sentiment(polarity=0.15576031949271385, subjectivity=0.5114601751925695)
On 2019-09-28, the article 'Beto O'Rourke calls for Trump's resignation to 'allow this country to heal'' has a sentiment score of Sentiment(polarity=0.1708174335952114, subjectivity=0.4431456095344984)
On 2019-09-28, the article 'House Republican says he supports process playing out in impeachment inquiry into Trump' has a sentiment score of Sentiment(polarity=0.01153846153846154, subjectivity=0.23782051282051286)
On 2019-09-28, the article 'Trump's ruthless attacks may come back to haunt him' has a sentiment score of Sentiment(polarity=0.03854016354016353, subjectivity=0.42231326874184005)
On 2019-09-28, the article 'The Trump impeachment drama has world riveted and wary' has a sentiment score of Sentiment(polarity=0.0337990488105167, subjectivity=0.3530290122721315)
